Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529788,Chmelná,112,95,95,"4,21 %","0,00 %","0,00 %","8,42 %","0,00 %","4,21 %","0,00 %","1,05 %","1,05 %","0,00 %","0,00 %","0,00 %","11,57 %","0,00 %","0,00 %","4,21 %","24,21 %","0,00 %","0,00 %","34,73 %","0,00 %","0,00 %","1,05 %","0,00 %","5,26 %","0,00 %"
529796,Chocerady,991,664,659,"11,22 %","0,15 %","0,15 %","7,58 %","0,00 %","6,37 %","7,73 %","1,36 %","0,60 %","1,82 %","0,00 %","0,30 %","18,05 %","0,15 %","0,00 %","6,98 %","25,94 %","0,00 %","0,15 %","1,82 %","0,00 %","1,21 %","0,30 %","0,00 %","8,04 %","0,00 %"
532606,Choratice,58,34,34,"14,70 %","0,00 %","0,00 %","5,88 %","0,00 %","11,76 %","2,94 %","0,00 %","2,94 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,82 %","29,41 %","0,00 %","0,00 %","17,64 %","0,00 %","0,00 %","0,00 %","0,00 %","5,88 %","0,00 %"
529818,Chotýšany,434,294,292,"9,24 %","0,00 %","0,00 %","9,93 %","0,00 %","10,61 %","5,47 %","0,34 %","1,71 %","2,05 %","0,34 %","0,00 %","11,98 %","0,00 %","0,34 %","1,71 %","31,16 %","0,00 %","0,00 %","2,39 %","0,00 %","0,34 %","0,34 %","0,68 %","11,30 %","0,00 %"
532037,Chrášťany,187,123,123,"16,26 %","0,00 %","0,00 %","0,81 %","0,00 %","7,31 %","11,38 %","0,81 %","0,81 %","0,00 %","0,81 %","0,00 %","16,26 %","0,00 %","0,00 %","3,25 %","32,52 %","0,00 %","0,00 %","7,31 %","0,00 %","0,00 %","0,00 %","0,00 %","2,43 %","0,00 %"
529842,Jankov,748,430,429,"5,36 %","0,00 %","0,00 %","6,52 %","0,23 %","11,88 %","7,92 %","0,69 %","0,46 %","1,16 %","0,00 %","0,00 %","11,42 %","0,00 %","0,00 %","5,59 %","33,79 %","0,00 %","0,69 %","4,66 %","0,00 %","0,23 %","0,46 %","0,23 %","8,15 %","0,46 %"
529851,Javorník,104,79,79,"3,79 %","0,00 %","0,00 %","13,92 %","0,00 %","8,86 %","6,32 %","2,53 %","1,26 %","0,00 %","0,00 %","0,00 %","11,39 %","0,00 %","0,00 %","0,00 %","25,31 %","0,00 %","0,00 %","7,59 %","0,00 %","2,53 %","0,00 %","0,00 %","16,45 %","0,00 %"
532134,Ješetice,106,68,67,"2,98 %","0,00 %","0,00 %","5,97 %","0,00 %","8,95 %","8,95 %","0,00 %","0,00 %","1,49 %","0,00 %","0,00 %","10,44 %","0,00 %","1,49 %","1,49 %","28,35 %","0,00 %","0,00 %","7,46 %","0,00 %","0,00 %","0,00 %","0,00 %","22,38 %","0,00 %"
531031,Kamberk,121,82,81,"20,98 %","0,00 %","0,00 %","6,17 %","0,00 %","2,46 %","1,23 %","0,00 %","0,00 %","2,46 %","0,00 %","0,00 %","11,11 %","0,00 %","0,00 %","7,40 %","34,56 %","0,00 %","0,00 %","1,23 %","0,00 %","2,46 %","0,00 %","0,00 %","9,87 %","0,00 %"
529907,Keblov,155,99,99,"10,10 %","0,00 %","0,00 %","10,10 %","0,00 %","8,08 %","10,10 %","0,00 %","1,01 %","1,01 %","0,00 %","0,00 %","6,06 %","0,00 %","0,00 %","2,02 %","34,34 %","0,00 %","1,01 %","3,03 %","0,00 %","2,02 %","0,00 %","0,00 %","11,11 %","0,00 %"
